code,name,class_type,parent_code,predefined_type,definition
IfcFurnishingElement,Furnishing Element,Class,IfcElement,,A furnishing element is a generalization of all furniture related objects. Furnishing objects are characterized as being
IfcFurniture,Furniture,Class,IfcFurnishingElement,,"Furniture defines complete furnishings such as a table, desk, chair, or cabinet, which may or may not be permanently attached to a building structure."
IfcFurnitureBED,Bed,Class,IfcFurniture,BED,Furniture for sleeping.
IfcFurnitureCHAIR,Chair,Class,IfcFurniture,CHAIR,Furniture for seating a single person.
IfcFurnitureDESK,Desk,Class,IfcFurniture,DESK,Furniture with a countertop and optional drawers for a single person.
IfcFurnitureFILECABINET,File Cabinet,Class,IfcFurniture,FILECABINET,Furniture with sliding drawers for storing files.
IfcFurnitureSHELF,Shelf,Class,IfcFurniture,SHELF,Furniture for storing books or other items.
IfcFurnitureSOFA,Sofa,Class,IfcFurniture,SOFA,Furniture for seating multiple people.
IfcFurnitureTABLE,Table,Class,IfcFurniture,TABLE,Furniture with a countertop for multiple people.
IfcFurnitureTECHNICALCABINET,Technical Cabinet,Class,IfcFurniture,TECHNICALCABINET,"A technical cabinet is a piece of furniture for holding, displaying and protecting technical appliances, usually organized in shelves, drawers or racks."
IfcGeographicElement,Geographic Element,Class,IfcElement,,"An [[IfcGeographicElement]] is a generalization of all elements within a geographical landscape. It includes occurrences of typical geographical elements, often referred to as features, such as trees or terrain. Common type information behind several occurrences of [[IfcGeographicElement]] is provided by the IfcGeographicElementType."
IfcGeographicElementSOIL_BORING_POINT,Soil Boring Point,Class,IfcGeographicElement,SOIL_BORING_POINT,Soil boring point
IfcGeographicElementTERRAIN,Ter Rain,Class,IfcGeographicElement,TERRAIN,Terrain
IfcGeographicElementVEGETATION,Vegetation,Class,IfcGeographicElement,VEGETATION,"Plant life or plant cover (as of an area). For example trees, shrubs, herbs, grasses, ferns, and mosses."
IfcGeomodel,Geomodel,Class,IfcGeotechnicalAssembly,,"Representation of the concept of a volumetric geological and geotechnical model, usually an interpretation but sometimes created direct from ground penetrating measurement.; The assembly may contain one of more strata and other anthropic elements. The contained subtypes of [[IfcGeotechnicalStratum]] will have shape representations made from polyhedra or surfaces if a 'Yabuki' top surface model is being used."
IfcGeoslice,Geoslice,Class,IfcGeotechnicalAssembly,,"Representation of the concept of a sectional planar geological and geotechnical model, usually an interpretation but sometimes created direct from ground penetrating measurement. The assembly may contain one of more strata and anthropic elements. The contained subtypes of [[IfcGeotechnicalStratum]] will have shape representations made from polygons reflecting the visible section or poly lines if a 'Yabuki' top surface model is being used."
IfcGeotechnicalAssembly,Geotechnical Assembly,Class,IfcGeotechnicalElement,,"Representation of the abstract concept of a geological and geotechnical model, usually an interpretation but sometimes created direct from ground penetrating measurement.; Use of an assembly is optional but can carry the methodology and uncertainty information.; Such assemblies will include [[IfcGeotechnicalStratum]] entity types and may include other entity types such as [[IfcPile]], [[IfcSlab]] or [[IfcSensor]] to represent the capping, lining or logging equipment present.; [[IfcBorehole]] or [[IfcGeoslice]] can have a physical reality as a construction hazard alongside being the carrier for the interpreted results. Geological hazards may be associated to any [[IfcGeotechnicalAssembly]] or [[IfcGeotechnicalStratum]]."
IfcGeotechnicalElement,Geotechnical Element,Class,IfcElement,,Abstract supertype for geotechnical entities.
IfcGeotechnicalStratum,Geotechnical Stratum,Class,IfcGeotechnicalElement,,"Representation of the concept of an identified discrete almost homogeneous geological feature with either an irregular solid or 'Yabuki' top surface shape or a regular voxel cubic shape. A stratum is represented as a discrete entity, specialised (sub typed) from [[IfcElement]]. A stratum may be broken down into smaller entities if properties vary across the stratum or alternatively properties may be described with bounded numeric ranges. A stratum may carry information about the physical form and its interpretation as a Geological Item (GML).; The shape representations used should correspond to the sub-type of [[IfcGeotechnicalAssembly]] in which it occurs"
IfcGeotechnicalStratumSOLID,Solid,Class,IfcGeotechnicalStratum,SOLID,"Representation of the concept of an identified discrete almost homogenous solid geological or surface feature, including discontinuities such as faults, fractures, boundaries and interfaces that are not explicitly modelled."
IfcGeotechnicalStratumVOID,Void,Class,IfcGeotechnicalStratum,VOID,"Representation of the concept of an identified discrete air filled geological feature, including caves and other voids."
IfcGeotechnicalStratumWATER,Water,Class,IfcGeotechnicalStratum,WATER,"Representation of the concept of an identified discrete water filled geological or surface feature including lakes, rivers and seas."
IfcGrid,Grid,Class,IfcPositioningElement,,"[[IfcGrid]] ia a planar design grid defined in 3D space used as an aid in locating structural and design elements. The position of the grid (ObjectPlacement) is defined by a 3D coordinate system (and thereby the design grid can be used in plan, section or in any position relative to the world coordinate system). The position can be relative to the object placement of other products or grids. The XY plane of the 3D coordinate system is used to place the grid axes, which are 2D curves (for example, line, circle, arc, polyline)."
IfcGridIRREGULAR,Irregular,Class,IfcGrid,IRREGULAR,"An [[IfcGrid]] with u-axes, v-axes, and optionally w-axes that cannot be described by the patterns."
IfcGridRADIAL,Radial,Class,IfcGrid,RADIAL,An [[IfcGrid]] with straight u-axes and curved v-axes. All grid axes being part of V-axes have the same center point and are concentric circular arcs. All grid axes being part of u-axes intersect at the same center point and rotate counter clockwise.
IfcGridRECTANGULAR,Rectangular,Class,IfcGrid,RECTANGULAR,An [[IfcGrid]] with straight u-axes and straight v-axes being perpendicular to each other. All grid axes being part of u-axes can be described by one axis line and all other axes being 2D offsets from this axis line. The same applies to all grid axes being part of V-axes.
IfcGridTRIANGULAR,Triangular,Class,IfcGrid,TRIANGULAR,"An [[IfcGrid]] with u-axes, v-axes, and w-axes all being co-linear axis lines with a 2D offset. The v-axes are at 60 degree rotated counter clockwise from the u-axes, and the w-axes are at 120 degree rotated counter clockwise from the u-axes."
IfcGroup,Group,Class,IfcObject,,"[[IfcGroup]] is an generalization of any arbitrary group. A group is a logical collection of objects. It does not have its own position, nor can it hold its own shape representation. Therefore a group is an aggregation under some non-geometrical / topological grouping aspects."
IfcHeatExchanger,Heat Exchanger,Class,IfcEnergyConversionDevice,,A heat exchanger is a device used to provide heat transfer between non-mixing media such as plate and shell and tube heat exchangers.
IfcHeatExchangerPLATE,Plate,Class,IfcHeatExchanger,PLATE,Plate heat exchanger.
IfcHeatExchangerSHELLANDTUBE,Shell and Tube,Class,IfcHeatExchanger,SHELLANDTUBE,Shell and Tube heat exchanger.
IfcHeatExchangerTURNOUTHEATING,Turnout Heating,Class,IfcHeatExchanger,TURNOUTHEATING,"A device used to remove snow from railways. E.g. electric heating device, gas heater"
IfcHumidifier,Humidifier,Class,IfcEnergyConversionDevice,,A humidifier is a device that adds moisture into the air.
IfcHumidifierADIABATICAIRWASHER,Adiabatic Air Washer,Class,IfcHumidifier,ADIABATICAIRWASHER,[[Water]] vapor is added into the airstream through adiabatic evaporation using an air washing element.
IfcHumidifierADIABATICATOMIZING,Adiabatic Atomizing,Class,IfcHumidifier,ADIABATICATOMIZING,[[Water]] vapor is added into the airstream through adiabatic evaporation using an atomizing element.
IfcHumidifierADIABATICCOMPRESSEDAIRNOZZLE,Adiabatic Compressed Air Nozzle,Class,IfcHumidifier,ADIABATICCOMPRESSEDAIRNOZZLE,[[Water]] vapor is added into the airstream through adiabatic evaporation using a compressed air nozzle.
IfcHumidifierADIABATICPAN,Adiabatic Pan,Class,IfcHumidifier,ADIABATICPAN,[[Water]] vapor is added into the airstream through adiabatic evaporation using a pan.
IfcHumidifierADIABATICRIGIDMEDIA,Adiabatic Rigid Media,Class,IfcHumidifier,ADIABATICRIGIDMEDIA,[[Water]] vapor is added into the airstream through adiabatic evaporation using a rigid media.
IfcHumidifierADIABATICULTRASONIC,Adiabatic Ultrasonic,Class,IfcHumidifier,ADIABATICULTRASONIC,[[Water]] vapor is added into the airstream through adiabatic evaporation using an ultrasonic element.
IfcHumidifierADIABATICWETTEDELEMENT,Adiabatic Wetted Element,Class,IfcHumidifier,ADIABATICWETTEDELEMENT,[[Water]] vapor is added into the airstream through adiabatic evaporation using a wetted element.
IfcHumidifierASSISTEDBUTANE,Assisted Butane,Class,IfcHumidifier,ASSISTEDBUTANE,[[Water]] vapor is added into the airstream through water heated evaporation using a butane heater.
IfcHumidifierASSISTEDELECTRIC,Assisted Electric,Class,IfcHumidifier,ASSISTEDELECTRIC,[[Water]] vapor is added into the airstream through water heated evaporation using an electric heater.
IfcHumidifierASSISTEDNATURALGAS,Assisted Natural Gas,Class,IfcHumidifier,ASSISTEDNATURALGAS,[[Water]] vapor is added into the airstream through water heated evaporation using a natural gas heater.
IfcHumidifierASSISTEDPROPANE,Assisted Propane,Class,IfcHumidifier,ASSISTEDPROPANE,[[Water]] vapor is added into the airstream through water heated evaporation using a propane heater.
IfcHumidifierASSISTEDSTEAM,Assisted Steam,Class,IfcHumidifier,ASSISTEDSTEAM,[[Water]] vapor is added into the airstream through water heated evaporation using a steam heater.
IfcHumidifierSTEAMINJECTION,Steam Injection,Class,IfcHumidifier,STEAMINJECTION,[[Water]] vapor is added into the airstream through direct steam injection.
IfcImpactProtectionDevice,Impact Protection Device,Class,IfcElementComponent,,An impact protection device is a component used to protect other built elements from kinetic damage.
IfcImpactProtectionDeviceBUMPER,Bumper,Class,IfcImpactProtectionDevice,BUMPER,"A bumper is a buffer object at end of track that prevents driving over. It can be fixed on rails or the track panel, or can also be a natural element (e.g. rock, sand)."
IfcImpactProtectionDeviceCRASHCUSHION,Crashcushion,Class,IfcImpactProtectionDevice,CRASHCUSHION,"Technical note: Because this class is a 'Predefined Type' in IFC, meaning a specialisation of its par"
IfcImpactProtectionDeviceDAMPINGSYSTEM,Damping System,Class,IfcImpactProtectionDevice,DAMPINGSYSTEM,An elastic element inserted between the superstructure (track and plate on slab track or ballast bed with ballast inserted in) and the tunnel structure (tunnel floor). Some of the elastic elements have a partial decoupling effect between the superstructure and underground due to vibrations. Both helical springs and elastomer blocks or elastomer strips can be used as suspension systems.
IfcImpactProtectionDeviceFENDER,Fender,Class,IfcImpactProtectionDevice,FENDER,A passive or active device formed of a damper and impact panel that is mounted on the quayside to protect against vessel impact.
IfcInterceptor,Interceptor,Class,IfcFlowTreatmentDevice,,"An interceptor is a device designed and installed in order to separate and retain deleterious, hazardous or undesirable matter while permitting normal sewage or liquids to discharge into a collection system by gravity."
IfcInterceptorCYCLONIC,Cyclonic,Class,IfcInterceptor,CYCLONIC,Removes larger liquid drops or larger solid particles.
IfcInterceptorGREASE,Grease,Class,IfcInterceptor,GREASE,"Chamber, on the line of a drain or discharge pipe, that prevents grease passing into a drainage system."
IfcInterceptorOIL,Oil,Class,IfcInterceptor,OIL,One or more chambers arranged to prevent the ingress of oil to a drain or sewer that retains the oil for later removal.
IfcInterceptorPETROL,Petrol,Class,IfcInterceptor,PETROL,Two or more chambers with inlet and outlet pipes arranged to allow petrol/gasoline collected on the surface of water drained into them to evaporate through ventilating pipes.
IfcInventory,Inventory,Class,IfcGroup,,An inventory is a list of items within an enterprise.
IfcInventoryASSETINVENTORY,Asset Inventory,Class,IfcInventory,ASSETINVENTORY,A collection of asset instances of type [[IfcAsset]].
IfcInventoryFURNITUREINVENTORY,Furniture Inventory,Class,IfcInventory,FURNITUREINVENTORY,A collection of furniture instances of type [[IfcFurnishingElement]].
IfcInventorySPACEINVENTORY,Space Inventory,Class,IfcInventory,SPACEINVENTORY,A collection of space instances of type [[IfcSpace]].
IfcJunctionBox,Junction Box,Class,IfcFlowFitting,,A junction box is an enclosure within which cables are connected.
IfcJunctionBoxDATA,Data,Class,IfcJunctionBox,DATA,"Contains cables, outlets, and/or switches for communications use."
IfcJunctionBoxPOWER,Power,Class,IfcJunctionBox,POWER,"Contains cables, outlets, and/or switches for electrical power."
IfcKerb,Kerb,Class,IfcBuiltElement,,"A border of stone, concrete or other rigid material formed at the edge of the carriageway or footway."
IfcLamp,Lamp,Class,IfcFlowTerminal,,A lamp is an artificial light source such as a light bulb or tube.
IfcLampCOMPACTFLUORESCENT,Compact Fluorescent,Class,IfcLamp,COMPACTFLUORESCENT,A fluorescent lamp having a compact form factor produced by shaping the tube.
IfcLampFLUORESCENT,Fluorescent,Class,IfcLamp,FLUORESCENT,A typically tubular discharge lamp in which most of the light is emitted by one or several layers of phosphors excited by ultraviolet radiation from the discharge.
IfcLampHALOGEN,Halogen,Class,IfcLamp,HALOGEN,An incandescent lamp in which a tungsten filament is sealed into a compact transport envelope filled with an inert gas and a small amount of halogen such as iodine or bromine.
IfcLampHIGHPRESSUREMERCURY,High Pressure Mercury,Class,IfcLamp,HIGHPRESSUREMERCURY,A discharge lamp in which most of the light is emitted by exciting mercury at high pressure.
IfcLampHIGHPRESSURESODIUM,High Pressure Sodium,Class,IfcLamp,HIGHPRESSURESODIUM,A discharge lamp in which most of the light is emitted by exciting sodium at high pressure.
IfcLampLED,LED,Class,IfcLamp,LED,A solid state lamp that uses light-emitting diodes as the source of light.
IfcLampMETALHALIDE,Metalhalide,Class,IfcLamp,METALHALIDE,A discharge lamp in which most of the light is emitted by exciting a metal halide.
IfcLampOLED,OLED,Class,IfcLamp,OLED,A solid state lamp that uses light-emitting diodes as the source of light whose emissive electroluminescent layer is composed of a film of organic compounds.
IfcLampTUNGSTENFILAMENT,Tungsten Filament,Class,IfcLamp,TUNGSTENFILAMENT,A lamp that emits light by passing an electrical current through a tungsten wire filament in a near vacuum.
IfcLightFixture,Light Fixture,Class,IfcFlowTerminal,,"A light fixture is a container that is designed for the purpose of housing one or more lamps and optionally devices that control, restrict or vary their emission."
IfcLightFixtureDIRECTIONSOURCE,Direction Source,Class,IfcLightFixture,DIRECTIONSOURCE,A light fixture that is considered to have a length or surface area from which it emits light in a direction. A light fixture containing one or more fluorescent lamps is an example of a direction source.
IfcLightFixturePOINTSOURCE,Point Source,Class,IfcLightFixture,POINTSOURCE,"A light fixture that is considered to have negligible area and that emit light with approximately equal intensity in all directions. A light fixture containing a tungsten, halogen or similar bulb is an example of a point source."
IfcLightFixtureSECURITYLIGHTING,Security Light Ing,Class,IfcLightFixture,SECURITYLIGHTING,"A light fixture having specific purpose of directing occupants in an emergency, such as an illuminated exit sign or emergency flood light."
IfcLinearElement,Linear Element,Class,IfcProduct,,A generalization of all linear elements that are parts of an alignment.
IfcLinearPositioningElement,Linear Positioning Element,Class,IfcPositioningElement,,An [[IfcLinearPositioningElement]] is an entity describing positioning according to a curve.
IfcLiquidTerminal,Liquid Terminal,Class,IfcFlowTerminal,,A liquid terminal is a terminating or origination point for the transfer of liquid between distribution system(s). this is the point where the liquid distribution system interacts with the external environment. An example of this is a loading arm for the transfer of liquid from a docked vessel.
IfcLiquidTerminalHOSEREEL,Hose Reel,Class,IfcLiquidTerminal,HOSEREEL,A Supporting framework on which a hose may be wound whose primary purpose is to connect and interact with the external environment.
IfcLiquidTerminalLOADINGARM,Loading Arm,Class,IfcLiquidTerminal,LOADINGARM,"A loading arm permits the transfer of liquid or liquefied gas from one system to another, through the use of an articulated arm that accounts for the movement of docked vessels."
IfcMarineFacility,Marine Facility,Class,IfcFacility,,"A marine facility represents any major structure or entity that is specific to the ports and waterways domain. examples of this include quays, jetties, shipyards, breakwaters etc."
IfcMarineFacilityBARRIERBEACH,Barrier Beach,Class,IfcMarineFacility,BARRIERBEACH,"a sand ridge that rises slightly above the surface of the sea and runs roughly parallel to the shore, from which it is separated by a lagoon."
IfcMarineFacilityBREAKWATER,Break Water,Class,IfcMarineFacility,BREAKWATER,"A longitudinal structure that protects a shore area, harbour, basin or estuary from waves.;"
IfcMarineFacilityCANAL,Canal,Class,IfcMarineFacility,CANAL,"A man-made watercourse constructed usually, to join rivers, lakes or seas and often of a size suitable for navigation.;"
IfcMarineFacilityDRYDOCK,Dry Dock,Class,IfcMarineFacility,DRYDOCK,a Dry dock is an enclosed chamber (by gate) that allows the draining of water for the construction or repair of marine vessels.;
IfcMarineFacilityFLOATINGDOCK,Floatingdock,Class,IfcMarineFacility,FLOATINGDOCK,A spatial element that encompasses a floating dry dock and supporting quay side ancillaries.
IfcMarineFacilityHYDROLIFT,Hydrolift,Class,IfcMarineFacility,HYDROLIFT,"A type of vessel launch recovery facility, also known as a hydraulic lift dock, where ships are lifted vertically by water impounding systems, then floated laterally across the land to berths which subsequently become dry."
IfcMarineFacilityJETTY,Jetty,Class,IfcMarineFacility,JETTY,"A berthing structure, that extends out into the sea usually perpendicular to the coastline, primarily for the transfer of liquid bulk materials.;"
IfcMarineFacilityLAUNCHRECOVERY,Launch Recovery,Class,IfcMarineFacility,LAUNCHRECOVERY,Subset of facilities for the function of launching or recovering vessels.
IfcMarineFacilityMARINEDEFENCE,Marine Defence,Class,IfcMarineFacility,MARINEDEFENCE,A subset of facilities with the primary function of protection or defence of a coastal or flood area.
IfcMarineFacilityNAVIGATIONALCHANNEL,Navigational Channel,Class,IfcMarineFacility,NAVIGATIONALCHANNEL,A natural navigable watercourse (such as a river) that needs to be managed or have improvements applied. This includes defined navigational areas in open seas and bays.;
IfcMarineFacilityPORT,Port,Class,IfcMarineFacility,PORT,"A complex/facility for shipping and marine activities, this includes cargo, people and storage of vessels (marinas harbours)."
IfcMarineFacilityQUAY,Quay,Class,IfcMarineFacility,QUAY,a facility for the mooring of vessels accompanied with the loading and unloading of cargo or passengers or the maintenance of vessels.
IfcMarineFacilityREVETMENT,Revetment,Class,IfcMarineFacility,REVETMENT,"A marine defensive structure made from earthworks, masonry or activities, built in such a way as to absorb the energy of incoming water."
IfcMarineFacilitySHIPLIFT,Ship Lift,Class,IfcMarineFacility,SHIPLIFT,"A type of vessel launch recovery facility, where ships are lifted vertically out of the water on platforms connected to winches, then transferred horizontally to land based berths on rail, wheel or track systems."
IfcMarineFacilitySHIPLOCK,Ship Lock,Class,IfcMarineFacility,SHIPLOCK,"A facility used for raising and lowering boats, ships and other watercraft between stretches of water of different levels on rivers and canal waterways or between impounded basins. This is achieved via an impounded chamber of water which is filled and emptied."
IfcMarineFacilitySHIPYARD,Ship Yard,Class,IfcMarineFacility,SHIPYARD,A coastal/waterside facility where ships are built and repaired.
IfcMarineFacilitySLIPWAY,Slipway,Class,IfcMarineFacility,SLIPWAY,A facility for the dynamic launch or recovery of a vessel utilizing an inclined ramp and gravitational or mechanical hauling systems.
IfcMarineFacilityWATERWAY,Waterway,Class,IfcMarineFacility,WATERWAY,A subset of facilities that have the primary function of providing a navigable area of water.
IfcMarineFacilityWATERWAYSHIPLIFT,Waterway Ship Lift,Class,IfcMarineFacility,WATERWAYSHIPLIFT,"A facility used for raising and lowering boats, ships and other watercraft between stretches of water of different levels on river and canal waterways or between impounded basins. This is achieved via an impounded trough of water which is mechanically lifted up and down."
IfcMarinePart,Marine Part,Class,IfcFacilityPart,,Part of a marine facility.
IfcMarinePartABOVEWATERLINE,Above Water Line,Class,IfcMarinePart,ABOVEWATERLINE,A vertical spatial part that represents the part above the mean waterline defined within the site area.
IfcMarinePartANCHORAGE,Anchorage,Class,IfcMarinePart,ANCHORAGE,A region spatial part that represents a managed area for the anchorage of vessels awaiting space and conditions to enter a port.
IfcMarinePartAPPROACHCHANNEL,Approach Channel,Class,IfcMarinePart,APPROACHCHANNEL,A longitudinal spatial part of a waterway or port facility that covers the approach of the primary facility.
IfcMarinePartBELOWWATERLINE,Below Water Line,Class,IfcMarinePart,BELOWWATERLINE,A vertical spatial part that represents the part below the mean waterline defined within the site area.
IfcMarinePartBERTHINGSTRUCTURE,Berthing Structure,Class,IfcMarinePart,BERTHINGSTRUCTURE,A longitudinal spatial part of a waterway or port facility that provides facilities for the berthing of vessels while waiting for the waterway facility to become available. For example waiting for a lock cycle to complete and the lock gates to open.
IfcMarinePartCHAMBER,Chamber,Class,IfcMarinePart,CHAMBER,"A longitudinal spatial part of a waterway or port facility that forms the impounded chamber of a facility, such as a ship lock, dry dock or hydrolift"
IfcMarinePartCILL_LEVEL,Cill Level,Class,IfcMarinePart,CILL_LEVEL,A vertical spatial part that represents the elevation of the cill and floor level of an impounded facility such as a ship lock or dry lock.
IfcMarinePartCOPELEVEL,Cope Level,Class,IfcMarinePart,COPELEVEL,A vertical spatial part that represents the elevation working surface of the quay for the placement of quay furniture and plant.
IfcMarinePartCORE,Core,Class,IfcMarinePart,CORE,A lateral spatial part that sub divides the core structure of a facility such as a breakwater or embankment
IfcMarinePartCREST,Crest,Class,IfcMarinePart,CREST,A lateral spatial part that forms the crest area of breakwater or embankment where additional structures are placed such as access items or roads.
IfcMarinePartGATEHEAD,Gate Head,Class,IfcMarinePart,GATEHEAD,"A longitudinal spatial part of a waterway or port facility that forms the gate, supporting structure plant of an impounded facility such as a ship lock, dry dock or hydrolift."
IfcMarinePartGUDINGSTRUCTURE,Guding Structure,Class,IfcMarinePart,GUDINGSTRUCTURE,A longitudinal spatial part of a waterway or port facility that forms the guiding and assistive structures at the entrance to an impounded facility.
IfcMarinePartHIGHWATERLINE,High Water Line,Class,IfcMarinePart,HIGHWATERLINE,"A vertical spatial part that represents the elevation of the high waterline, multiple high waterlines can be used to represent the different high tide types."
IfcMarinePartLANDFIELD,Land Field,Class,IfcMarinePart,LANDFIELD,A region or lateral facility part that covers the land field of a waterside facility such as a quay.
IfcMarinePartLEEWARDSIDE,Leeward Side,Class,IfcMarinePart,LEEWARDSIDE,A lateral spatial part that covers the side of protective structures that do not experience weather or wave effects.
IfcMarinePartLOWWATERLINE,Low Water Line,Class,IfcMarinePart,LOWWATERLINE,"A vertical spatial part that represents the elevation of the low waterline, multiple low waterlines can be used to represent the different low tide types."
IfcMarinePartMANUFACTURING,Manufacturing,Class,IfcMarinePart,MANUFACTURING,A region spatial part that forms a sub division of a facility for the purpose of manufacturing. This covers areas that are open air and do not constitute a building or the building is only a small part of the entire area (in this case a child of type building can be used).
IfcMarinePartNAVIGATIONALAREA,Navigational Area,Class,IfcMarinePart,NAVIGATIONALAREA,"A region spatial part that covers a managed navigational area that is maintained for an operational reason, this could be a dredged turning circle or waiting area."
IfcMarinePartPROTECTION,Protection,Class,IfcMarinePart,PROTECTION,A lateral or region spatial part that forms the area which contains protective measures for scour and erosion of a facility.
IfcMarinePartSHIPTRANSFER,Ship Transfer,Class,IfcMarinePart,SHIPTRANSFER,A region spatial part that represents a clear area used for the transfer and movement of vessels this area could include complex rail tracks and additional loading requirements.
IfcMarinePartSTORAGEAREA,Storage Area,Class,IfcMarinePart,STORAGEAREA,"A region spatial part that forms a sub division of a facility for the purpose of storing cargo. For example container stacks, dry bulk storage yards, material storage yards."
IfcMarinePartVEHICLESERVICING,Vehicle Servicing,Class,IfcMarinePart,VEHICLESERVICING,A region spatial part that represents a functional division designed for the maintenance and/or storage of vehicles used for facility operations.
IfcMarinePartWATERFIELD,Water Field,Class,IfcMarinePart,WATERFIELD,A region or lateral facility part that covers the water field of a waterside facility such as a quay.
IfcMarinePartWEATHERSIDE,Weather Side,Class,IfcMarinePart,WEATHERSIDE,A lateral spatial part that covers the side of protective structures that is designed to protect and be impacted by weather or wave effects. such as the outer side of breakwaters or the riverside of flood embankments.
IfcMaterial,Material,Class,,,[[IfcMaterial]] is a homogeneous or inhomogeneous substance that can be used to form elements (physical products or their components).
IfcMechanicalFastener,Mechanical Fastener,Class,IfcElementComponent,,"A mechanical fasteners connecting building elements or parts mechanically. A single instance of this class may represent one or many of actual mechanical fasteners, for example an array of bolts or a row of nails."
IfcMechanicalFastenerANCHORBOLT,Anchorbolt,Class,IfcMechanicalFastener,ANCHORBOLT,"A special bolt which is anchored into concrete, stone, or brickwork."
IfcMechanicalFastenerBOLT,Bolt,Class,IfcMechanicalFastener,BOLT,A threaded cylindrical rod that engages with a similarly threaded hole in a nut or any other part to form a fastener. The mechanical fastener often also includes one or more washers and one or more nuts.
IfcMechanicalFastenerCHAIN,Chain,Class,IfcMechanicalFastener,CHAIN,"a series of linked metal rings used for fastening or securing something, or for pulling loads."
IfcMechanicalFastenerCOUPLER,Coupler,Class,IfcMechanicalFastener,COUPLER,"A part connecting two rod or bars, such as reinforcement bars."
IfcMechanicalFastenerDOWEL,Dowel,Class,IfcMechanicalFastener,DOWEL,A cylindrical rod that is driven into holes of the connected pieces.
IfcMechanicalFastenerNAIL,Nail,Class,IfcMechanicalFastener,NAIL,A thin pointed piece of metal that is hammered into materials as a fastener.
IfcMechanicalFastenerNAILPLATE,Nail Plate,Class,IfcMechanicalFastener,NAILPLATE,A piece of sheet metal with punched points that overlaps the connected pieces and is pressed into their material.
IfcMechanicalFastenerRAILFASTENING,Rail Fastening,Class,IfcMechanicalFastener,RAILFASTENING,"An assembly of components which secures a rail to the supporting structure and retains it in the required position whilst permitting any necessary vertical, lateral and longitudinal movement.;definition from EN 13481-1."
IfcMechanicalFastenerRAILJOINT,Rail Joint,Class,IfcMechanicalFastener,RAILJOINT,A mechanical assembly with e.g. fishplates to join two rail ends with optional functions (insulation or expansion capacity).
IfcMechanicalFastenerRIVET,Rivet,Class,IfcMechanicalFastener,RIVET,A fastening part having a head at one end and the other end being hammered flat after being passed through holes in the pieces that are fastened together.
IfcMechanicalFastenerROPE,Rope,Class,IfcMechanicalFastener,ROPE,"a length of thick strong cord made by twisting together strands of hemp, sisal, nylon, or similar material. used primarily for mooring vessels"
IfcMechanicalFastenerSCREW,Screw,Class,IfcMechanicalFastener,SCREW,A fastener with a tapered threaded shank and a slotted head.
IfcMechanicalFastenerSHEARCONNECTOR,Shear Connector,Class,IfcMechanicalFastener,SHEARCONNECTOR,A ring connector that is accepted by ring keyways in the connected pieces; or a toothed circular or square connector that is pressed into the connected pieces.
IfcMechanicalFastenerSTAPLE,Staple,Class,IfcMechanicalFastener,STAPLE,A doubly pointed piece of metal that is hammered into materials as a fastener.
IfcMechanicalFastenerSTUDSHEARCONNECTOR,Stud Shear Connector,Class,IfcMechanicalFastener,STUDSHEARCONNECTOR,Stud shear connectors are cylindrical fastening parts with a head on one side. On the other side they are welded on steel members for the use in composite steel and concrete structures.
IfcMedicalDevice,Medical Device,Class,IfcFlowTerminal,,"A medical device is attached to a medical piping system and operates upon medical gases to perform a specific function. Medical gases include medical air, medical vacuum, oxygen, carbon dioxide, nitrogen, and nitrous oxide."
IfcMedicalDeviceAIRSTATION,Air Station,Class,IfcMedicalDevice,AIRSTATION,"Device that provides purified medical air, composed of an air compressor and air treatment line."
IfcMedicalDeviceFEEDAIRUNIT,Feed Air Unit,Class,IfcMedicalDevice,FEEDAIRUNIT,"Device that feeds air to an oxygen generator, composed of an air compressor, air treatment line, and an air receiver."
IfcMedicalDeviceOXYGENGENERATOR,Oxygen Generator,Class,IfcMedicalDevice,OXYGENGENERATOR,Device that generates oxygen from air.
IfcMedicalDeviceOXYGENPLANT,Oxygen Plant,Class,IfcMedicalDevice,OXYGENPLANT,"Device that combines a feed air unit, oxygen generator, and backup oxygen cylinders."
IfcMedicalDeviceVACUUMSTATION,Vacuum Station,Class,IfcMedicalDevice,VACUUMSTATION,"Device that provides suction, composed of a vacuum pump and bacterial filtration line."
IfcMember,Member,Class,IfcBuiltElement,,"An [[IfcMember]] is a structural member designed to carry loads between or beyond points of support. It is not required to be load bearing. The orientation of the member (being horizontal, vertical or sloped) is not relevant to its definition (in contrary to [[IfcBeam]] and [[IfcColumn]]). An [[IfcMember]] represents a linear structural element from an architectural or structural modeling point of view and shall be used if it cannot be expressed more specifically as either an [[IfcBeam]] or an [[IfcColumn]]."
IfcMemberARCH_SEGMENT,Arch Segment,Class,IfcMember,ARCH_SEGMENT,Individual segment of an arch structure.
IfcMemberBRACE,Brace,Class,IfcMember,BRACE,A linear element (usually sloped) often used for bracing of a girder or truss.
IfcMemberCHORD,Chord,Class,IfcMember,CHORD,"Upper or lower longitudinal member of a truss, used horizontally or sloped."
IfcMemberCOLLAR,Collar,Class,IfcMember,COLLAR,A linear element (usually used horizontally) within a roof structure to connect rafters and posts.
IfcMemberMEMBER,Member,Class,IfcMember,MEMBER,A linear element within a girder or truss with no further meaning.
IfcMemberMULLION,Mullion,Class,IfcMember,MULLION,A linear element within a curtain wall system to connect two (or more) panels.
